Material,E_MPa,K_dash,n_dash,sigma_f_dash,b,epsilon_f_dash,c
Aluminum 2024-T3,73000,800,0.15,950,-0.09,0.12,-0.6
Inconel 718,207000,1100,0.12,1200,-0.1,0.08,-0.55
High-Temp Alloy,180000,950,0.18,1000,-0.095,0.1,-0.58
Ti-6Al-4V,114000,980,0.13,1050,-0.087,0.09,-0.57
Nickel 625,207000,1020,0.11,1150,-0.098,0.085,-0.56
316 Stainless Steel,193000,860,0.19,890,-0.08,0.13,-0.59
Alloy Steel 4340,210000,1000,0.12,1250,-0.1,0.07,-0.52
Aluminum 7075-T6,71000,790,0.14,900,-0.091,0.11,-0.6
Titanium Aluminide (TiAl),170000,920,0.13,980,-0.088,0.075,-0.53
SiC/SiC Ceramic Matrix Composite,190000,500,0.25,850,-0.07,0.06,-0.5
C/C Composite,100000,400,0.3,750,-0.065,0.05,-0.48
Haynes 230,210000,1050,0.14,1120,-0.092,0.07,-0.54
Rene 41,215000,1100,0.11,1250,-0.096,0.08,-0.55
