Material,material_condition,product_form,Temperature_C,E_MPa,E_MPa_units,S_u_MPa,S_u_MPa_units,S_y_MPa,S_y_MPa_units,mean_CTE_per_C,mean_CTE_per_C_units,CTE_reference_temperature_C,CTE_definition,nu,thermal_conductivity_W_mK,specific_heat_J_kgK,density_kg_m3,property_source,property_basis,interpolation_allowed,property_notes
Aluminum 2024-T3,2024-T3,unspecified wrought product,24,73100,MPa,483,MPa,345,MPa,,,,,0.33,121,875,,ASM/MatWeb 2024-T3,AA typical,Yes,Room-temperature typical values; not design allowables.
Aluminum 2024-T3,2024-T3,unspecified wrought product,100,,,455,MPa,331,MPa,0.0000232,1/C,20,Mean CTE over 20 C to listed temperature,,,,,ASM/MatWeb 2024-T3,AA typical,Yes,Elevated tensile values and mean CTE from MatWeb listed temperature entries.
Aluminum 2024-T3,2024-T3,unspecified wrought product,149,,,379,MPa,310,MPa,,,,,,,,,ASM/MatWeb 2024-T3,AA typical,Yes,Elevated tensile values from MatWeb listed temperature entries.
Aluminum 2024-T3,2024-T3,unspecified wrought product,204,,,186,MPa,138,MPa,,,,,,,,,ASM/MatWeb 2024-T3,AA typical,Yes,Elevated tensile values from MatWeb listed temperature entries.
Aluminum 2024-T3,2024-T3,unspecified wrought product,260,,,76,MPa,62,MPa,,,,,,,,,ASM/MatWeb 2024-T3,AA typical,Yes,Elevated tensile values from MatWeb listed temperature entries.
Aluminum 2024-T3,2024-T3,unspecified wrought product,300,,,,,,,0.0000247,1/C,20,Mean CTE over 20 C to listed temperature,,,,,ASM/MatWeb 2024-T3,AA typical,Yes,Mean CTE from MatWeb listed range.
Aluminum 2024-T3,2024-T3,unspecified wrought product,316,,,52,MPa,41,MPa,,,,,,,,,ASM/MatWeb 2024-T3,AA typical,Yes,Elevated tensile values from MatWeb listed temperature entries.
Aluminum 2024-T3,2024-T3,unspecified wrought product,371,,,34,MPa,28,MPa,,,,,,,,,ASM/MatWeb 2024-T3,AA typical,Yes,Elevated tensile values from MatWeb listed temperature entries.
Inconel 718,"HAYNES 718 plate, mill annealed + 1325F/8h furnace cool to 1150F/8h air cool",plate,21,200000,MPa,1382,MPa,1157,MPa,,,,,,11.4,,8230,Haynes 718,Representative manufacturer data,Yes,Tensile data for stated plate heat treatment; physical values from Haynes alloy page.
Inconel 718,"HAYNES 718 plate, mill annealed + 1325F/8h furnace cool to 1150F/8h air cool",plate,100,195000,MPa,,,,,0.0000128,1/C,25,Mean CTE over 25 C to listed temperature,,,12.6,,Haynes 718,Representative manufacturer data,Yes,Physical property series from Haynes alloy page.
Inconel 718,"HAYNES 718 plate, mill annealed + 1325F/8h furnace cool to 1150F/8h air cool",plate,200,191000,MPa,,,,,0.0000135,1/C,25,Mean CTE over 25 C to listed temperature,,,14.3,,Haynes 718,Representative manufacturer data,Yes,Physical property series from Haynes alloy page.
